,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry
549,CFR,"Cullen/Frost Bankers, Inc.",97.68,$6.11B,,Finance,Major Banks
2519,SCL,Stepan Company,97.67,$2.2B,,Basic Industries,Package Goods/Cosmetics
1728,MAN,ManpowerGroup,96.08,$5.67B,,Technology,Professional Services
2248,PKI,"PerkinElmer, Inc.",95.67,$10.63B,,Capital Goods,Biotechnology: Laboratory Analytical Instruments
750,CVNA,Carvana Co.,95.42,$14.46B,2017,Consumer Durables,Automotive Aftermarket
2745,TEL,TE Connectivity Ltd.,95.21,$31.85B,,Technology,Electronic Components
2959,VLO,Valero Energy Corporation,95.14,$39.07B,,Energy,Integrated oil Companies
105,AJG,Arthur J. Gallagher & Co.,95.02,$17.72B,,Finance,Specialty Insurers
179,APTV,Aptiv PLC,94.96,$24.24B,2011,Capital Goods,Auto Parts:O.E.M.
682,CPK,Chesapeake Utilities Corporation,94.9,$1.56B,,Public Utilities,Oil & Gas Production
1103,FMX,Fomento Economico Mexicano S.A.B. de C.V.,94.84,$169.68B,,Consumer Non-Durables,Beverages (Production/Distribution)
250,AWI,Armstrong World Industries Inc,94.63,$4.59B,,Consumer Non-Durables,Plastic Products
2302,PRU,"Prudential Financial, Inc.",94.49,$37.98B,2001,Finance,Life Insurance
1761,MED,MEDIFAST INC,94.36,$1.1B,,Consumer Non-Durables,Packaged Foods
1697,LNN,Lindsay Corporation,94.15,$1.02B,,Capital Goods,Industrial Machinery/Components
1011,ETN,"Eaton Corporation, PLC",94.08,$38.89B,,Technology,Industrial Machinery/Components
2947,VFC,V.F. Corporation,94.04,$37.56B,,Consumer Non-Durables,Apparel
1718,LYB,LyondellBasell Industries NV,93.65,$31.22B,,Basic Industries,Major Chemicals
2715,TARO,Taro Pharmaceutical Industries Ltd.,93.59,$3.61B,,Health Care,Major Pharmaceuticals
2076,NVS,Novartis AG,93.07,$210.77B,,Health Care,Major Pharmaceuticals
45,AEP,"American Electric Power Company, Inc.",93.03,$45.95B,,Public Utilities,Electric Utilities: Central
405,BOH,Bank of Hawaii Corporation,92.9,$3.74B,,Finance,Major Banks
316,BCO,Brink&#39;s Company (The),92.6,$4.63B,,Transportation,Oil Refining/Marketing
2117,OGS,"ONE Gas, Inc.",92.49,$4.88B,2014,Public Utilities,Oil/Gas Transmission
1436,ICE,Intercontinental Exchange Inc.,92.27,$51.38B,2005,Finance,Investment Bankers/Brokers/Service
2148,OSK,Oshkosh Corporation,92.19,$6.27B,,Capital Goods,Auto Manufacturing
2421,RLI,RLI Corp.,91.74,$4.11B,,Finance,Property-Casualty Insurers
1660,LDOS,"Leidos Holdings, Inc.",91.64,$12.97B,,Technology,EDP Services
2417,RJF,"Raymond James Financial, Inc.",91.05,$12.63B,,Finance,Investment Bankers/Brokers/Service
643,CNI,Canadian National Railway Company,90.7,$64.88B,,Transportation,Railroads
3011,WEC,"WEC Energy Group, Inc.",90.63,$28.59B,,Public Utilities,Power Generation
874,DUK,Duke Energy Corporation,90.49,$65.97B,,Public Utilities,Power Generation
1039,EXP,Eagle Materials Inc,90.44,$3.77B,,Capital Goods,Building Materials
1467,INGR,Ingredion Incorporated,90.44,$6.04B,,Consumer Non-Durables,Packaged Foods
2842,TSN,"Tyson Foods, Inc.",89.95,$32.85B,,Consumer Non-Durables,Meat/Poultry/Fish
3007,WCN,"Waste Connections, Inc.",89.63,$23.64B,,Public Utilities,Environmental Services
7,ABBV,AbbVie Inc.,89.43,$132.25B,2012,Health Care,Major Pharmaceuticals
1855,MRK,"Merck & Company, Inc.",89.29,$227.33B,,Health Care,Major Pharmaceuticals
2460,RSG,"Republic Services, Inc.",89.29,$28.5B,1998,Public Utilities,Environmental Services
1510,J,Jacobs Engineering Group Inc.,89.27,$11.9B,,Basic Industries,Military/Government/Technical
2027,NPK,"National Presto Industries, Inc.",89.25,$624.48M,,Capital Goods,Ordnance And Accessories
1972,NGVT,Ingevity Corporation,88.64,$3.71B,2016,Basic Industries,Major Chemicals
255,AXE,Anixter International Inc.,88.56,$3B,,Consumer Non-Durables,Telecommunications Equipment
2577,SLG,SL Green Realty Corp,88.4,$7.08B,1997,Consumer Services,Real Estate Investment Trusts
2252,PLD,"Prologis, Inc.",88.36,$55.82B,,Consumer Services,Real Estate Investment Trusts
909,ED,Consolidated Edison Inc,88.23,$29.33B,,Public Utilities,Power Generation
2561,SITE,"SiteOne Landscape Supply, Inc.",88.19,$3.65B,2016,Consumer Non-Durables,Farming/Seeds/Milling
2812,TPX,"Tempur Sealy International, Inc.",88.1,$4.77B,2003,Consumer Durables,Home Furnishings
948,EME,"EMCOR Group, Inc.",87.84,$4.93B,,Capital Goods,Engineering & Construction
997,ESE,ESCO Technologies Inc.,87.74,$2.28B,,Capital Goods,Telecommunications Equipment
2272,PNW,Pinnacle West Capital Corporation,87.6,$9.85B,,Public Utilities,Electric Utilities: Central
2817,TREX,"Trex Company, Inc.",87.2,$5.09B,,Basic Industries,Forest Products
2992,W,Wayfair Inc.,86.94,$8.1B,2014,Consumer Services,Catalog/Specialty Distribution
253,AWR,American States Water Company,86.43,$3.18B,,Public Utilities,Water Supply
16,ABT,Abbott Laboratories,86.4,$152.79B,,Health Care,Major Pharmaceuticals
2256,PM,Philip Morris International Inc,86.25,$134.19B,,Consumer Non-Durables,Farming/Seeds/Milling
801,DFS,Discover Financial Services,86.13,$27B,,Finance,Finance: Consumer Services
139,AMG,"Affiliated Managers Group, Inc.",86.1,$4.24B,,Finance,Investment Managers
2833,TRU,TransUnion,86.06,$16.21B,2015,Finance,Finance: Consumer Services
2413,RHP,"Ryman Hospitality Properties, Inc.",86.01,$4.72B,,Consumer Services,Real Estate Investment Trusts
8,ABC,AmerisourceBergen Corporation (Holding Co),85.96,$17.7B,,Health Care,Other Pharmaceuticals
307,BBY,"Best Buy Co., Inc.",85.79,$22.2B,,Consumer Services,Consumer Electronics/Video Chains
688,CR,Crane Co.,85.76,$5.14B,,Capital Goods,Metal Fabrications
133,ALV,"Autoliv, Inc.",85.52,$7.46B,,Capital Goods,Auto Parts:O.E.M.
709,CTA^A,E.I. du Pont de Nemours and Company,85.0797,,,,
205,ARW,"Arrow Electronics, Inc.",84.99,$6.92B,,Technology,Electronic Components
1316,H,Hyatt Hotels Corporation,84.98,$8.73B,2009,Consumer Services,Hotels/Resorts
2373,RBC,Regal Beloit Corporation,84.97,$3.48B,,Consumer Durables,Metal Fabrications
1509,IX,Orix Corp Ads,84.84,$21.74B,,Finance,Diversified Financial Services
0,A,"Agilent Technologies, Inc.",84.45,$26.1B,1999,Capital Goods,Biotechnology: Laboratory Analytical Instruments
2053,NSP,"Insperity, Inc.",84.26,$3.37B,,Technology,Professional Services
2484,SAIC,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,84.26,$4.86B,,Technology,EDP Services
2706,SYY,Sysco Corporation,84.23,$42.98B,,Consumer Non-Durables,Food Distributors
1713,LW,"Lamb Weston Holdings, Inc.",83.97,$12.26B,2016,Consumer Non-Durables,Packaged Foods
293,BAX,Baxter International Inc.,83.86,$42.82B,,Health Care,Medical/Dental Instruments
602,CLH,"Clean Harbors, Inc.",83.8,$4.68B,,Basic Industries,Environmental Services
617,CM,Canadian Imperial Bank of Commerce,83.55,$37.23B,,Finance,Commercial Banks
2394,REX,REX American Resources Corporation,83.37,$524.67M,,Basic Industries,Major Chemicals
1207,GIB,CGI Inc.,83.32,$20.01B,,Consumer Services,Professional Services
1593,KEX,Kirby Corporation,82.81,$4.96B,,Consumer Services,Marine Transportation
1161,GATX,GATX Corporation,82.6,$2.9B,,Consumer Services,Transportation Services
3093,XPO,"XPO Logistics, Inc.",82.53,$7.62B,,Consumer Services,Transportation Services
63,AGM,Federal Agricultural Mortgage Corporation,82.24,$880.86M,,Finance,Finance Companies
996,ES,Eversource Energy,82.05,$26.56B,,Public Utilities,Electric Utilities: Central
1629,KRC,Kilroy Realty Corporation,81.84,$8.68B,1997,Consumer Services,Real Estate Investment Trusts
2127,OMC,Omnicom Group Inc.,81.77,$17.8B,,Technology,Advertising
768,D,"Dominion Energy, Inc.",81.64,$67.2B,,Public Utilities,Electric Utilities: Central
989,EQR,Equity Residential,81.5,$30.27B,,Consumer Services,Real Estate Investment Trusts
812,DIN,"Dine Brands Global, Inc.",81.48,$1.37B,,Consumer Services,Restaurants
2241,PJC,Piper Jaffray Companies,81.29,$1.17B,,Finance,Investment Bankers/Brokers/Service
1478,INXN,InterXion Holding N.V.,81.18,$6.22B,2011,Technology,"Computer Software: Programming, Data Processing"
2631,SR,Spire Inc.,80.76,$4.12B,,Public Utilities,Oil/Gas Transmission
762,CXO,Concho Resources Inc.,80.73,$16.23B,2007,Energy,Oil & Gas Production
117,ALE,"Allete, Inc.",80.67,$4.17B,,Public Utilities,Power Generation
1498,ITGR,Integer Holdings Corporation,80.26,$2.62B,,Miscellaneous,Industrial Machinery/Components
2700,SXI,Standex International Corporation,80.24,$999.92M,,Technology,Industrial Machinery/Components
445,BUD,Anheuser-Busch Inbev SA,80.01,$156.77B,,Consumer Non-Durables,Beverages (Production/Distribution)
2845,TTC,Toro Company (The),79.9,$8.52B,,Capital Goods,Tools/Hardware
2470,RY,Royal Bank Of Canada,79.65,$113.95B,,Finance,Commercial Banks
2676,STT,State Street Corporation,79.62,$28.95B,,Finance,Major Banks
1975,NHI,"National Health Investors, Inc.",79.06,$3.48B,,Consumer Services,Real Estate Investment Trusts
950,EMN,Eastman Chemical Company,78.92,$10.73B,,Basic Industries,Major Chemicals
2625,SPR,"Spirit Aerosystems Holdings, Inc.",78.88,$8.17B,2006,Capital Goods,Military/Government/Technical
3013,WELL,Welltower Inc.,78.67,$31.92B,,Consumer Services,Real Estate Investment Trusts
2790,TNC,Tennant Company,78.46,$1.43B,,Technology,Industrial Machinery/Components
2362,QTWO,"Q2 Holdings, Inc.",78.44,$3.78B,2014,Technology,Computer Software: Prepackaged Software
378,BKH,Black Hills Corporation,78.42,$4.82B,,Public Utilities,Electric Utilities: Central
97,AIN,Albany International Corporation,78.18,$2.53B,,Basic Industries,Textiles
2735,TDOC,"Teladoc Health, Inc.",78.16,$5.66B,2015,Health Care,Medical/Nursing Services
969,EOG,"EOG Resources, Inc.",77.91,$45.33B,,Energy,Oil & Gas Production
2647,SSD,"Simpson Manufacturing Company, Inc.",77.62,$3.44B,,Capital Goods,Industrial Machinery/Components
3053,WPC,W. P. Carey Inc.,77.61,$13.37B,,Consumer Services,Real Estate Investment Trusts
2918,USNA,"USANA Health Sciences, Inc.",77.55,$1.68B,,Consumer Durables,Specialty Chemicals
60,AGCO,AGCO Corporation,77.35,$5.84B,,Capital Goods,Industrial Machinery/Components
398,BMO,Bank Of Montreal,77.35,$49.44B,,Finance,Commercial Banks
2139,ORA,"Ormat Technologies, Inc.",77.34,$3.94B,2004,Public Utilities,Electric Utilities: Central
3097,XYL,Xylem Inc.,77.28,$13.92B,2011,Capital Goods,Fluid Controls
1615,KMPR,Kemper Corporation,77.01,$5.13B,,Finance,Property-Casualty Insurers
468,C,Citigroup Inc.,76.91,$167.91B,,Finance,Major Banks
1420,HXL,Hexcel Corporation,76.73,$6.47B,,Basic Industries,Major Chemicals
3112,ZEN,"Zendesk, Inc.",76.73,$8.61B,2014,Technology,EDP Services
188,ARCH,"Arch Coal, Inc.",76.69,$1.15B,2016,Energy,Coal Mining
953,EMR,Emerson Electric Company,76.16,$46.39B,,Energy,Consumer Electronics/Appliances
1148,FTV,Fortive Corporation,76.16,$25.57B,2016,Capital Goods,Industrial Machinery/Components
2151,OXM,"Oxford Industries, Inc.",75.84,$1.29B,,Consumer Non-Durables,Apparel
38,AEE,Ameren Corporation,75.76,$18.64B,,Public Utilities,Power Generation
2697,SWX,"Southwest Gas Holdings, Inc.",75.65,$4.13B,,Public Utilities,Oil & Gas Production
214,ASH,Ashland Global Holdings Inc.,75.58,$4.55B,,Consumer Durables,Specialty Chemicals
1030,EVR,Evercore Inc.,75.56,$2.95B,2006,Finance,Investment Managers
2451,RPM,RPM International Inc.,75.26,$9.76B,,Basic Industries,Paints/Coatings
1464,INFO,IHS Markit Ltd.,74.91,$30.04B,1996,Technology,"Computer Software: Programming, Data Processing"
964,ENS,Enersys,74.9,$3.17B,2004,Consumer Non-Durables,Telecommunications Equipment
2994,WAB,Westinghouse Air Brake Technologies Corporation,74.76,$14.33B,,Capital Goods,Railroads
225,ATHM,Autohome Inc.,74.63,$8.81B,2013,Technology,EDP Services
751,CVS,CVS Health Corporation,74.4,$96.79B,,Health Care,Medical/Nursing Services
1873,MSM,"MSC Industrial Direct Company, Inc.",74.32,$4.11B,1995,Capital Goods,Industrial Machinery/Components
241,AVLR,"Avalara, Inc.",74.21,$5.71B,2018,Technology,Computer Software: Prepackaged Software
936,EIX,Edison International,74,$26.54B,,Public Utilities,Electric Utilities: Central
1459,IIPR,"Innovative Industrial Properties, Inc.",74,$877.18M,2016,Finance,Real Estate
1823,MMS,"Maximus, Inc.",73.75,$4.72B,1997,Miscellaneous,Business Services
840,DOOR,Masonite International Corporation,73.43,$1.83B,,Basic Industries,Forest Products
2253,PLNT,"Planet Fitness, Inc.",73.41,$6.68B,2015,Consumer Services,Hotels/Resorts
2124,OKE,"ONEOK, Inc.",73.39,$30.32B,,Public Utilities,Oil & Gas Production
1482,IPHI,Inphi Corporation,73.26,$3.35B,2010,Technology,Semiconductors
1499,ITT,ITT Inc.,73.19,$6.42B,2011,Capital Goods,Fluid Controls
1487,IRET,Investors Real Estate Trust,73.15,$850.38M,,Consumer Services,Real Estate Investment Trusts
2098,O,Realty Income Corporation,73.04,$23.81B,,Consumer Services,Real Estate Investment Trusts
516,CCK,"Crown Holdings, Inc.",72.57,$9.84B,,Consumer Durables,Containers/Packaging
2819,TRI,Thomson Reuters Corp,72.54,$36.26B,,Consumer Services,Publishing
878,DVA,DaVita Inc.,72.48,$9.29B,,Health Care,Misc Health and Biotechnology Services
2619,SPG^J,"Simon Property Group, Inc.",72.0027,,,,
618,CMA,Comerica Incorporated,71.85,$10.36B,,Finance,Major Banks
2167,PB,"Prosperity Bancshares, Inc.",71.68,$6.78B,,Finance,Major Banks
2026,NP,"Neenah, Inc.",71.59,$1.2B,,Basic Industries,Paper
2218,PGR,Progressive Corporation (The),71.1,$41.57B,,Finance,Property-Casualty Insurers
2081,NWE,NorthWestern Corporation,71.08,$3.59B,,Public Utilities,Power Generation
1472,INSP,"Inspire Medical Systems, Inc.",71,$1.71B,1998,Health Care,Medical/Dental Instruments
621,CMD,Cantel Medical Corp.,70.7,$3.01B,,Health Care,Medical/Dental Instruments
2083,NWN,Northwest Natural Holding Company,70.58,$2.15B,,Public Utilities,Oil/Gas Transmission
504,CBU,"Community Bank System, Inc.",70.31,$3.64B,,Finance,Major Banks
3068,WSM,"Williams-Sonoma, Inc.",70.22,$5.44B,,Consumer Services,Home Furnishings
965,ENV,"Envestnet, Inc",70.09,$3.68B,2010,Miscellaneous,Business Services
3039,WLK,Westlake Chemical Corporation,70.07,$8.99B,2004,Basic Industries,Major Chemicals
3092,XOM,Exxon Mobil Corporation,70,$296.18B,,Energy,Integrated oil Companies
1434,IBP,"Installed Building Products, Inc.",70,$2.1B,2014,Basic Industries,Homebuilding
286,BAH,Booz Allen Hamilton Holding Corporation,69.79,$9.8B,2010,Consumer Services,Professional Services
931,EHC,Encompass Health Corporation,69.77,$6.88B,,Health Care,Hospital/Nursing Management
2569,SJW,SJW Group,69.6,$1.98B,,Public Utilities,Water Supply
2769,THO,"Thor Industries, Inc.",69.59,$3.84B,,Consumer Non-Durables,Homebuilding
943,ELS,"Equity Lifestyle Properties, Inc.",69.58,$12.67B,,Consumer Services,Real Estate Investment Trusts
3060,WRB,W.R. Berkley Corporation,69.27,$12.72B,,Finance,Property-Casualty Insurers
213,ASGN,ASGN Incorporated,69.2,$3.65B,1992,Technology,Professional Services
120,ALK,"Alaska Air Group, Inc.",69,$8.5B,,Transportation,Air Freight/Delivery Services
30,ADC,Agree Realty Corporation,68.93,$2.92B,,Consumer Services,Real Estate Investment Trusts
558,CHD,"Church & Dwight Company, Inc.",68.92,$16.91B,,Basic Industries,Package Goods/Cosmetics
596,CL,Colgate-Palmolive Company,68.87,$59.02B,,Consumer Non-Durables,Package Goods/Cosmetics
978,EPR,EPR Properties,68.51,$5.38B,1997,Consumer Services,Real Estate Investment Trusts
3058,WPP,WPP plc,68.49,$17.28B,,Technology,Advertising
819,DLB,Dolby Laboratories,68.4,$6.85B,2005,Miscellaneous,Multi-Sector Companies
789,DDS,"Dillard&#39;s, Inc.",68.27,$1.69B,,Consumer Services,Department/Specialty Retail Stores
2591,SNE,Sony Corp Ord,68.25,$83.74B,,Consumer Non-Durables,Consumer Electronics/Appliances
1712,LVS,Las Vegas Sands Corp.,68.1,$52.3B,2004,Consumer Services,Hotels/Resorts
1171,GDDY,GoDaddy Inc.,67.97,$11.71B,2015,Technology,EDP Services
915,EE,El Paso Electric Company,67.6,$2.75B,,Public Utilities,Electric Utilities: Central
2988,VVI,Viad Corp,67.31,$1.37B,,Miscellaneous,Business Services
1583,KAMN,Kaman Corporation,67.12,$1.87B,,Consumer Durables,Industrial Specialties
1957,NEWR,"New Relic, Inc.",67,$3.94B,2014,Technology,Computer Software: Prepackaged Software
100,AIT,"Applied Industrial Technologies, Inc.",66.94,$2.59B,,Consumer Durables,Industrial Specialties
1272,GRA,W.R. Grace & Co.,66.81,$4.46B,,Basic Industries,Major Chemicals
1453,IHG,Intercontinental Hotels Group,66.62,$12.13B,,Consumer Services,Hotels/Resorts
2029,NPO,EnPro Industries,66.55,$1.38B,,Basic Industries,Metal Fabrications
3008,WD,"Walker & Dunlop, Inc.",66.54,$2.05B,2010,Finance,Finance: Consumer Services
2628,SQ,"Square, Inc.",66.53,$28.59B,2015,Technology,Computer Software: Prepackaged Software
196,ARGO,"Argo Group International Holdings, Ltd.",66.31,$2.28B,,Finance,Specialty Insurers
1581,K,Kellogg Company,66.28,$22.61B,,Consumer Non-Durables,Packaged Foods
115,ALB,Albemarle Corporation,66.2,$7.02B,,Basic Industries,Major Chemicals
1725,MAA^I,"Mid-America Apartment Communities, Inc.",65.85,,,,
2358,QSR,Restaurant Brands International Inc.,65.68,$19.61B,2014,Consumer Services,Restaurants
1049,FBHS,"Fortune Brands Home & Security, Inc.",65.46,$9.11B,,Basic Industries,Homebuilding
651,CNS,Cohen & Steers Inc,65.41,$3.09B,2004,Finance,Investment Managers
2968,VNO,Vornado Realty Trust,65.39,$12.48B,,Consumer Services,Real Estate Investment Trusts
2106,OC,Owens Corning Inc,65.2,$7.09B,,Capital Goods,Industrial Machinery/Components
325,BDXA,"Becton, Dickinson and Company",65.16,,,Health Care,Medical/Dental Instruments
786,DD,"DuPont de Nemours, Inc.",64.89,$48.07B,2017,Basic Industries,Major Chemicals
734,CUB,Cubic Corporation,64.83,$2.03B,,Capital Goods,Industrial Machinery/Components
1338,HES,Hess Corporation,64.6,$19.68B,,Energy,Integrated oil Companies
2701,SXT,Sensient Technologies Corporation,64.39,$2.72B,,Basic Industries,Major Chemicals
245,AVTR^A,"Avantor, Inc.",64.28,,,,
388,BLL,Ball Corporation,63.97,$20.93B,,Consumer Durables,Containers/Packaging
1105,FN,Fabrinet,63.77,$2.36B,2010,Public Utilities,Telecommunications Equipment
3081,WWE,"World Wrestling Entertainment, Inc.",63.69,$5B,,Consumer Services,Movies/Entertainment
393,BMI,"Badger Meter, Inc.",63.58,$1.85B,,Capital Goods,Industrial Machinery/Components
3049,WNS,WNS (Holdings) Limited,63.57,$3.15B,2006,Miscellaneous,Business Services
1720,LYV,"Live Nation Entertainment, Inc.",63.56,$13.58B,,Consumer Services,Services-Misc. Amusement & Recreation
1879,MTH,Meritage Corporation,63.53,$2.43B,,Capital Goods,Homebuilding
399,BMY,Bristol-Myers Squibb Company,63.5,$148.86B,,Health Care,Major Pharmaceuticals
379,BKI,"Black Knight, Inc.",63.47,$9.49B,2017,Technology,Computer Software: Prepackaged Software
1421,HY,"Hyster-Yale Materials Handling, Inc.",63.33,$1.06B,,Capital Goods,Construction/Ag Equipment/Trucks
1822,MMP,Magellan Midstream Partners L.P.,63.27,$14.45B,,Energy,Natural Gas Distribution
1332,HDB,HDFC Bank Limited,63.26,$115.46B,2001,Finance,Commercial Banks
1031,EVRG,"Evergy, Inc.",63.2,$14.4B,2018,Public Utilities,Power Generation
